Exercise,Sets x Reps,📸 Visual Cue & Form,Video 
PUSH  (Monday + Thursday),,,
Flat DB Bench Press,3 x 8-12,"Bench flat. Lie on back. Push DBs straight up over your chest, bringing them down until elbows hit 90 degrees.",https://www.youtube.com/shorts/WbCEvFA0NJs
Incline DB Press,3 x 8-10,Bench at 30-45° angle. Press DBs up. Targets the upper chest.,https://www.youtube.com/shorts/8fXfwG4ftaQ
Seated DB Shoulder Press,3 x 8-10,Bench backrest straight up (90°). Sit and press DBs overhead until arms are extended.,https://www.youtube.com/shorts/k6tzKisR3NY
DB Lateral Raises,3 x 12-15,Stand straight. Hold light DBs at your sides. Raise arms out like wings until parallel to the floor.,https://www.youtube.com/shorts/Kl3LEzQ5Zqs
Overhead Tricep Extension,3 x 10-12,Sit on bench. Hold one heavy DB with both hands behind your head. Extend arms straight up.,https://www.youtube.com/shorts/b_r_LW4HEcM
,,,
,,,
PULL  (Tuesday + Friday),,,
Pull-Ups,3 x AMRAP*,Hang from the bar. Pull your chin over the bar. (AMRAP = As Many Reps As Possible).,https://www.youtube.com/shorts/ym1V5H35IpA
DB Single Arm Row,3 x 8-10,Knee and hand on flat bench. Back flat. Pull the DB up to your hip like starting a lawnmower.,https://www.youtube.com/shorts/yHqqGd0tXcw
DB Pullover,3 x 10-12,"Lie flat on bench. Hold one DB with both hands straight over chest. Lower it behind your head, then pull back up.",https://www.youtube.com/shorts/Datv2L6t3-4
DB Bicep Curls,3 x 10-12,Stand up. Palms facing forward. Curl DBs up to your shoulders. Control the weight on the way down.,https://www.youtube.com/shorts/MKWBV29S6c0
DB Hammer Curls,3 x 10-12,"Same as bicep curl, but palms face each other (like holding a hammer). Great for forearms.",https://www.youtube.com/shorts/lmIo_gVE8T4
,,,
Leg And Core  (Wednesday + Staturday),,,
DB Goblet Squat,4 x 8-12,Hold one heavy DB vertically against your chest. Squat down until your thighs are below parallel.,https://www.youtube.com/shorts/lRYBbchqxtI
DB Romanian Deadlift (RDL),3 x 10-12,Hold DBs in front of thighs. Keep legs mostly straight (slight bend). Push hips back until you feel a stretch in hamstrings.,https://www.youtube.com/shorts/Wou9zVQrAfs
Bulgarian Split Squat,3 x 8-10,Stand a few feet in front of bench. Rest one foot behind you on the bench. Squat down on the front leg. Warning: It burns.,https://www.youtube.com/shorts/or1frhkjBDc
Seated Calf Raises,3 x 15-20,Sit on bench edge. Rest heavy DBs on your knees. Lift your heels off the ground as high as possible.,https://www.youtube.com/shorts/ar8nav0jGoE
Weighted Crunches,3 x 15-20,Lie flat on floor or bench. Hold a light DB on your chest. Crunch your shoulders off the pad.,https://www.youtube.com/shorts/G9XfQJPBJVI
